timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751093065341,243,Add pet to cart-83,200,,Thread Group 1-4,text,true,,4664,655,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,243,0,0
1751093065232,243,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4664,655,4,4,null,243,109,0
1751093064847,698,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,10251,1878,4,4,null,473,39,0
1751093061095,3799,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-5,,false,,59732,8554,4,4,null,3361,690,684
1751093065429,221,Sign Out-88,200,,Thread Group 1-3,text,true,,4973,623,4,4,https://petstore.octoperf.com/actions/Catalog.action,221,0,0
1751093064924,672,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,10251,1878,4,4,null,451,54,0
1751093062198,2861,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-3,,false,,59171,8607,4,4,null,2430,591,0
1751093065616,250,Payment Address-85,200,,Thread Group 1-6,text,true,,4504,1287,3,3,https://petstore.octoperf.com/actions/Order.action,250,0,0
1751093065556,250,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4504,1287,3,3,null,250,60,0
1751093065620,257,Proceed to checkout-84,200,,Thread Group 1-4,text,true,,4222,644,3,3,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,257,0,0
1751093065584,257,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4222,644,3,3,null,257,36,0
1751093065658,229,Sign In-76,200,,Thread Group 1-5,text,true,,4095,612,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,229,0,0
1751093065888,248,Sign In-77,200,,Thread Group 1-5,text,true,,4177,963,3,3,https://petstore.octoperf.com/actions/Account.action,247,0,0
1751093065584,477,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,8272,1575,3,3,null,476,75,0
1751093065992,295,Payment Address-85,200,,Thread Group 1-4,text,true,,4504,1287,3,3,https://petstore.octoperf.com/actions/Order.action,295,0,0
1751093065877,295,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4504,1287,3,3,null,295,115,0
1751093065950,446,Payment Confirmation-86,500,,Thread Group 1-6,text,false,,15419,621,3,3,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,274,0,0
1751093065867,446,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-6,,false,,15419,621,3,3,null,274,83,0
